Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 18:50:14|  62 C  | 308.99 W |  89 C  |  59 C  | 289.24 W |  89 C  |  59 C  | 303.80 W |  89 C  |  62 C  | 256.07 W |  89 C  |  59 C  | 268.58 W |  89 C  |  59 C  | 289.44 W |  89 C  |  59 C  | 305.27 W |  89 C  |  59 C  | 305.66 W |  89 C  
2025-08-14 18:50:16|  62 C  | 270.52 W |  89 C  |  59 C  | 298.22 W |  89 C  |  59 C  | 271.46 W |  89 C  |  62 C  | 276.65 W |  89 C  |  59 C  | 304.48 W |  89 C  |  59 C  | 281.42 W |  89 C  |  59 C  | 293.36 W |  89 C  |  59 C  | 315.64 W |  89 C  
2025-08-14 18:50:18|  62 C  | 306.14 W |  89 C  |  59 C  | 309.00 W |  89 C  |  59 C  | 304.38 W |  89 C  |  62 C  | 306.04 W |  89 C  |  60 C  | 315.71 W |  89 C  |  60 C  | 304.62 W |  89 C  |  59 C  | 312.97 W |  89 C  |  59 C  | 312.40 W |  89 C  
2025-08-14 18:50:21|  62 C  | 303.59 W |  89 C  |  59 C  | 280.22 W |  89 C  |  59 C  | 321.07 W |  89 C  |  62 C  | 303.79 W |  89 C  |  59 C  | 290.67 W |  89 C  |  60 C  | 306.48 W |  89 C  |  59 C  | 295.60 W |  89 C  |  59 C  | 279.00 W |  89 C  
2025-08-14 18:50:23|  62 C  | 309.65 W |  89 C  |  59 C  | 315.17 W |  89 C  |  59 C  | 302.34 W |  89 C  |  62 C  | 302.84 W |  89 C  |  60 C  | 292.43 W |  89 C  |  60 C  | 285.17 W |  89 C  |  60 C  | 307.97 W |  89 C  |  60 C  | 299.99 W |  89 C  
2025-08-14 18:50:26|  63 C  | 307.60 W |  89 C  |  59 C  | 298.34 W |  89 C  |  59 C  | 309.94 W |  89 C  |  63 C  | 298.89 W |  89 C  |  60 C  | 287.14 W |  89 C  |  60 C  | 294.94 W |  89 C  |  60 C  | 309.06 W |  89 C  |  59 C  | 313.87 W |  89 C  
2025-08-14 18:50:28|  63 C  | 299.21 W |  89 C  |  59 C  | 287.69 W |  89 C  |  59 C  | 310.34 W |  89 C  |  63 C  | 295.07 W |  89 C  |  60 C  | 278.40 W |  89 C  |  60 C  | 278.08 W |  89 C  |  60 C  | 284.54 W |  89 C  |  59 C  | 288.73 W |  89 C  
2025-08-14 18:50:30|  63 C  | 312.60 W |  89 C  |  60 C  | 293.45 W |  89 C  |  59 C  | 312.17 W |  89 C  |  62 C  | 305.66 W |  89 C  |  60 C  | 302.61 W |  89 C  |  60 C  | 275.05 W |  89 C  |  60 C  | 313.84 W |  89 C  |  60 C  | 300.09 W |  89 C  
2025-08-14 18:50:33|  63 C  | 312.88 W |  89 C  |  60 C  | 287.26 W |  89 C  |  59 C  | 294.38 W |  89 C  |  63 C  | 278.98 W |  89 C  |  60 C  | 297.81 W |  89 C  |  60 C  | 276.50 W |  89 C  |  60 C  | 301.29 W |  89 C  |  60 C  | 303.23 W |  89 C  
2025-08-14 18:50:35|  63 C  | 276.18 W |  89 C  |  60 C  | 291.78 W |  89 C  |  60 C  | 300.03 W |  89 C  |  63 C  | 317.96 W |  89 C  |  60 C  | 278.01 W |  89 C  |  60 C  | 288.27 W |  89 C  |  60 C  | 292.79 W |  89 C  |  60 C  | 280.38 W |  89 C  
2025-08-14 18:50:38|  63 C  | 298.21 W |  89 C  |  60 C  | 300.99 W |  89 C  |  60 C  | 310.03 W |  89 C  |  63 C  | 296.72 W |  89 C  |  60 C  | 305.07 W |  89 C  |  60 C  | 315.97 W |  89 C  |  60 C  | 293.10 W |  89 C  |  60 C  | 290.99 W |  89 C  
2025-08-14 18:50:40|  63 C  | 283.90 W |  89 C  |  60 C  | 302.16 W |  89 C  |  60 C  | 306.94 W |  89 C  |  63 C  | 314.23 W |  89 C  |  60 C  | 295.84 W |  89 C  |  60 C  | 306.82 W |  89 C  |  60 C  | 320.64 W |  89 C  |  60 C  | 293.34 W |  89 C  
2025-08-14 18:50:42|  63 C  | 300.45 W |  89 C  |  60 C  | 292.96 W |  89 C  |  60 C  | 302.42 W |  89 C  |  63 C  | 282.87 W |  89 C  |  61 C  | 288.69 W |  89 C  |  61 C  | 280.56 W |  89 C  |  60 C  | 313.35 W |  89 C  |  60 C  | 275.86 W |  89 C  
2025-08-14 18:50:45|  63 C  | 276.97 W |  89 C  |  60 C  | 297.07 W |  89 C  |  60 C  | 303.11 W |  89 C  |  63 C  | 307.60 W |  89 C  |  60 C  | 294.19 W |  89 C  |  60 C  | 279.69 W |  89 C  |  61 C  | 286.37 W |  89 C  |  60 C  | 278.62 W |  89 C  
2025-08-14 18:50:47|  63 C  | 320.32 W |  89 C  |  60 C  | 302.05 W |  89 C  |  60 C  | 310.14 W |  89 C  |  63 C  | 329.33 W |  89 C  |  61 C  | 317.14 W |  89 C  |  61 C  | 300.19 W |  89 C  |  61 C  | 298.98 W |  89 C  |  60 C  | 304.89 W |  89 C  
2025-08-14 18:50:50|  64 C  | 321.09 W |  89 C  |  60 C  | 290.13 W |  89 C  |  60 C  | 266.35 W |  89 C  |  63 C  | 313.39 W |  89 C  |  61 C  | 297.61 W |  89 C  |  60 C  | 310.48 W |  89 C  |  61 C  | 316.39 W |  89 C  |  60 C  | 306.05 W |  89 C  
2025-08-14 18:50:52|  64 C  | 270.00 W |  89 C  |  60 C  | 320.04 W |  89 C  |  60 C  | 292.72 W |  89 C  |  63 C  | 309.96 W |  89 C  |  61 C  | 315.62 W |  89 C  |  61 C  | 298.75 W |  89 C  |  61 C  | 308.85 W |  89 C  |  60 C  | 274.86 W |  89 C  
2025-08-14 18:50:54|  63 C  | 307.23 W |  89 C  |  60 C  | 306.84 W |  89 C  |  60 C  | 304.08 W |  89 C  |  64 C  | 315.93 W |  89 C  |  61 C  | 300.95 W |  89 C  |  61 C  | 309.60 W |  89 C  |  61 C  | 283.92 W |  89 C  |  61 C  | 288.11 W |  89 C  
2025-08-14 18:50:57|  63 C  | 275.89 W |  89 C  |  61 C  | 309.68 W |  89 C  |  60 C  | 306.54 W |  89 C  |  64 C  | 314.67 W |  89 C  |  61 C  | 303.97 W |  89 C  |  61 C  | 299.34 W |  89 C  |  61 C  | 266.05 W |  89 C  |  61 C  | 286.18 W |  89 C  
