Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 17:32:00|  26 C  | 44.19 W |  89 C  |  25 C  | 42.31 W |  89 C  |  24 C  | 42.51 W |  89 C  |  27 C  | 41.93 W |  89 C  |  25 C  | 43.69 W |  89 C  |  25 C  | 42.69 W |  89 C  |  25 C  | 44.24 W |  89 C  |  25 C  | 42.98 W |  89 C  
2025-08-14 17:32:02|  26 C  | 44.19 W |  89 C  |  25 C  | 42.22 W |  89 C  |  24 C  | 42.28 W |  89 C  |  27 C  | 42.03 W |  89 C  |  25 C  | 43.70 W |  89 C  |  25 C  | 42.70 W |  89 C  |  25 C  | 44.23 W |  89 C  |  25 C  | 42.98 W |  89 C  
2025-08-14 17:32:04|  26 C  | 44.09 W |  89 C  |  25 C  | 42.21 W |  89 C  |  24 C  | 42.40 W |  89 C  |  27 C  | 41.93 W |  89 C  |  25 C  | 43.80 W |  89 C  |  25 C  | 42.79 W |  89 C  |  25 C  | 44.33 W |  89 C  |  25 C  | 42.98 W |  89 C  
2025-08-14 17:32:07|  27 C  | 44.37 W |  89 C  |  26 C  | 42.60 W |  89 C  |  25 C  | 62.62 W |  89 C  |  29 C  | 63.14 W |  89 C  |  26 C  | 64.52 W |  89 C  |  26 C  | 63.70 W |  89 C  |  27 C  | 65.09 W |  89 C  |  27 C  | 65.57 W |  89 C  
2025-08-14 17:32:22|  27 C  | 44.19 W |  89 C  |  26 C  | 42.42 W |  89 C  |  24 C  | 42.39 W |  89 C  |  28 C  | 42.03 W |  89 C  |  26 C  | 43.89 W |  89 C  |  26 C  | 42.98 W |  89 C  |  26 C  | 44.44 W |  89 C  |  26 C  | 43.17 W |  89 C  
2025-08-14 17:32:24|  27 C  | 44.28 W |  89 C  |  25 C  | 42.42 W |  89 C  |  24 C  | 42.51 W |  89 C  |  28 C  | 42.03 W |  89 C  |  26 C  | 43.89 W |  89 C  |  26 C  | 42.98 W |  89 C  |  26 C  | 44.13 W |  89 C  |  26 C  | 43.08 W |  89 C  
2025-08-14 17:32:26|  27 C  | 44.19 W |  89 C  |  25 C  | 42.32 W |  89 C  |  24 C  | 42.40 W |  89 C  |  28 C  | 41.93 W |  89 C  |  26 C  | 43.90 W |  89 C  |  26 C  | 42.88 W |  89 C  |  26 C  | 44.44 W |  89 C  |  26 C  | 43.08 W |  89 C  
2025-08-14 17:32:29|  27 C  | 64.80 W |  89 C  |  25 C  | 61.76 W |  89 C  |  24 C  | 57.39 W |  89 C  |  27 C  | 56.88 W |  89 C  |  26 C  | 58.07 W |  89 C  |  26 C  | 62.40 W |  89 C  |  26 C  | 64.20 W |  89 C  |  26 C  | 64.77 W |  89 C  
2025-08-14 17:32:33|  27 C  | 44.19 W |  89 C  |  25 C  | 42.42 W |  89 C  |  24 C  | 42.60 W |  89 C  |  28 C  | 42.12 W |  89 C  |  26 C  | 43.98 W |  89 C  |  26 C  | 42.88 W |  89 C  |  26 C  | 44.14 W |  89 C  |  26 C  | 43.26 W |  89 C  
2025-08-14 17:32:36|  27 C  | 44.19 W |  89 C  |  25 C  | 42.42 W |  89 C  |  24 C  | 42.50 W |  89 C  |  27 C  | 42.02 W |  89 C  |  26 C  | 55.32 W |  89 C  |  26 C  | 42.88 W |  89 C  |  26 C  | 44.64 W |  89 C  |  26 C  | 43.27 W |  89 C  
