Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 17:47:01|  61 C  | 315.25 W |  89 C  |  58 C  | 309.00 W |  89 C  |  57 C  | 273.56 W |  89 C  |  61 C  | 291.15 W |  89 C  |  58 C  | 302.60 W |  89 C  |  58 C  | 307.54 W |  89 C  |  59 C  | 307.46 W |  89 C  |  58 C  | 304.57 W |  89 C  
2025-08-14 17:47:03|  61 C  | 303.79 W |  89 C  |  58 C  | 286.89 W |  89 C  |  58 C  | 293.34 W |  89 C  |  61 C  | 284.98 W |  89 C  |  58 C  | 297.82 W |  89 C  |  58 C  | 311.06 W |  89 C  |  59 C  | 303.55 W |  89 C  |  58 C  | 290.89 W |  89 C  
2025-08-14 17:47:05|  61 C  | 299.20 W |  89 C  |  58 C  | 291.99 W |  89 C  |  57 C  | 286.67 W |  89 C  |  61 C  | 297.43 W |  89 C  |  58 C  | 306.53 W |  89 C  |  58 C  | 284.35 W |  89 C  |  59 C  | 301.98 W |  89 C  |  58 C  | 307.04 W |  89 C  
2025-08-14 17:47:08|  61 C  | 289.91 W |  89 C  |  58 C  | 306.27 W |  89 C  |  58 C  | 296.56 W |  89 C  |  61 C  | 311.32 W |  89 C  |  58 C  | 299.88 W |  89 C  |  58 C  | 298.86 W |  89 C  |  59 C  | 291.11 W |  89 C  |  58 C  | 292.16 W |  89 C  
2025-08-14 17:47:10|  61 C  | 292.93 W |  89 C  |  58 C  | 316.52 W |  89 C  |  58 C  | 291.58 W |  89 C  |  61 C  | 312.11 W |  89 C  |  58 C  | 281.45 W |  89 C  |  58 C  | 311.27 W |  89 C  |  59 C  | 300.23 W |  89 C  |  59 C  | 303.44 W |  89 C  
2025-08-14 17:47:13|  55 C  | 83.80 W |  89 C  |  58 C  | 303.34 W |  89 C  |  58 C  | 312.03 W |  89 C  |  62 C  | 302.81 W |  89 C  |  53 C  | 80.84 W |  89 C  |  58 C  | 289.05 W |  89 C  |  59 C  | 313.97 W |  89 C  |  58 C  | 290.79 W |  89 C  
2025-08-14 17:47:15|  54 C  | 81.96 W |  89 C  |  58 C  | 289.70 W |  89 C  |  58 C  | 78.84 W |  89 C  |  62 C  | 200.30 W |  89 C  |  52 C  | 79.71 W |  89 C  |  58 C  | 103.37 W |  89 C  |  59 C  | 288.23 W |  89 C  |  59 C  | 309.32 W |  89 C  
2025-08-14 17:47:17|  52 C  | 53.33 W |  89 C  |  53 C  | 71.85 W |  89 C  |  51 C  | 50.18 W |  89 C  |  55 C  | 73.12 W |  89 C  |  50 C  | 52.64 W |  89 C  |  52 C  | 73.85 W |  89 C  |  53 C  | 78.64 W |  89 C  |  53 C  | 81.99 W |  89 C  
2025-08-14 17:47:21|  50 C  | 52.96 W |  89 C  |  50 C  | 70.06 W |  89 C  |  49 C  | 49.48 W |  89 C  |  53 C  | 48.42 W |  89 C  |  48 C  | 80.21 W |  89 C  |  50 C  | 72.95 W |  89 C  |  51 C  | 76.66 W |  89 C  |  51 C  | 73.66 W |  89 C  
2025-08-14 17:47:24|  49 C  | 78.31 W |  89 C  |  49 C  | 47.73 W |  89 C  |  47 C  | 48.79 W |  89 C  |  51 C  | 48.13 W |  89 C  |  47 C  | 78.05 W |  89 C  |  48 C  | 49.07 W |  89 C  |  49 C  | 51.27 W |  89 C  |  49 C  | 49.06 W |  89 C  
2025-08-14 17:47:27|  48 C  | 77.03 W |  89 C  |  47 C  | 47.82 W |  89 C  |  46 C  | 48.40 W |  89 C  |  49 C  | 47.44 W |  89 C  |  46 C  | 50.68 W |  89 C  |  47 C  | 48.76 W |  89 C  |  47 C  | 50.54 W |  89 C  |  47 C  | 48.46 W |  89 C  
2025-08-14 17:47:30|  46 C  | 75.72 W |  89 C  |  46 C  | 70.24 W |  89 C  |  45 C  | 72.08 W |  89 C  |  49 C  | 72.32 W |  89 C  |  45 C  | 73.99 W |  89 C  |  46 C  | 70.85 W |  89 C  |  46 C  | 49.72 W |  89 C  |  46 C  | 47.75 W |  89 C  
2025-08-14 17:47:35|  45 C  | 74.44 W |  89 C  |  44 C  | 67.46 W |  89 C  |  43 C  | 72.99 W |  89 C  |  47 C  | 67.17 W |  89 C  |  43 C  | 72.71 W |  89 C  |  44 C  | 69.12 W |  89 C  |  44 C  | 50.13 W |  89 C  |  45 C  | 47.36 W |  89 C  
2025-08-14 17:47:41|  44 C  | 74.29 W |  89 C  |  42 C  | 46.04 W |  89 C  |  41 C  | 46.71 W |  89 C  |  44 C  | 45.94 W |  89 C  |  42 C  | 71.31 W |  89 C  |  42 C  | 46.97 W |  89 C  |  43 C  | 71.21 W |  89 C  |  43 C  | 71.19 W |  89 C  
2025-08-14 17:47:45|  43 C  | 73.59 W |  89 C  |  41 C  | 45.54 W |  89 C  |  40 C  | 68.43 W |  89 C  |  43 C  | 45.74 W |  89 C  |  41 C  | 71.72 W |  89 C  |  40 C  | 46.68 W |  89 C  |  41 C  | 48.37 W |  89 C  |  41 C  | 46.77 W |  89 C  
2025-08-14 17:47:47|  50 C  | 302.82 W |  89 C  |  41 C  | 67.08 W |  89 C  |  40 C  | 68.65 W |  89 C  |  43 C  | 66.20 W |  89 C  |  47 C  | 299.98 W |  89 C  |  40 C  | 67.74 W |  89 C  |  41 C  | 74.39 W |  89 C  |  41 C  | 71.49 W |  89 C  
