Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 15:27:52|  30 C  | 45.18 W |  89 C  |  28 C  | 42.92 W |  89 C  |  27 C  | 43.11 W |  89 C  |  30 C  | 42.83 W |  89 C  |  29 C  | 44.40 W |  89 C  |  28 C  | 43.29 W |  89 C  |  29 C  | 45.05 W |  89 C  |  28 C  | 43.57 W |  89 C  
2025-08-14 15:27:55|  30 C  | 45.08 W |  89 C  |  28 C  | 42.93 W |  89 C  |  27 C  | 43.01 W |  89 C  |  30 C  | 42.83 W |  89 C  |  28 C  | 44.30 W |  89 C  |  28 C  | 43.19 W |  89 C  |  28 C  | 44.95 W |  89 C  |  28 C  | 43.68 W |  89 C  
2025-08-14 15:27:57|  30 C  | 66.88 W |  89 C  |  28 C  | 42.92 W |  89 C  |  27 C  | 43.10 W |  89 C  |  30 C  | 43.03 W |  89 C  |  28 C  | 44.40 W |  89 C  |  28 C  | 43.28 W |  89 C  |  28 C  | 45.05 W |  89 C  |  28 C  | 43.68 W |  89 C  
2025-08-14 15:28:01|  39 C  | 277.15 W |  89 C  |  36 C  | 292.37 W |  89 C  |  36 C  | 294.02 W |  89 C  |  39 C  | 284.78 W |  89 C  |  35 C  | 281.26 W |  89 C  |  36 C  | 287.60 W |  89 C  |  37 C  | 289.84 W |  89 C  |  36 C  | 296.58 W |  89 C  
2025-08-14 15:28:03|  40 C  | 275.11 W |  89 C  |  38 C  | 294.43 W |  89 C  |  38 C  | 294.31 W |  89 C  |  40 C  | 285.57 W |  89 C  |  37 C  | 266.84 W |  89 C  |  37 C  | 288.69 W |  89 C  |  39 C  | 293.67 W |  89 C  |  38 C  | 295.80 W |  89 C  
2025-08-14 15:28:05|  41 C  | 277.96 W |  89 C  |  39 C  | 295.99 W |  89 C  |  38 C  | 283.54 W |  89 C  |  42 C  | 291.75 W |  89 C  |  38 C  | 269.68 W |  89 C  |  39 C  | 288.08 W |  89 C  |  40 C  | 293.46 W |  89 C  |  39 C  | 296.87 W |  89 C  
2025-08-14 15:28:08|  42 C  | 278.83 W |  89 C  |  40 C  | 299.43 W |  89 C  |  39 C  | 287.84 W |  89 C  |  43 C  | 293.40 W |  89 C  |  39 C  | 270.77 W |  89 C  |  40 C  | 289.17 W |  89 C  |  41 C  | 295.13 W |  89 C  |  40 C  | 298.34 W |  89 C  
2025-08-14 15:28:10|  43 C  | 286.29 W |  89 C  |  41 C  | 297.46 W |  89 C  |  40 C  | 284.92 W |  89 C  |  44 C  | 287.92 W |  89 C  |  40 C  | 271.55 W |  89 C  |  41 C  | 290.72 W |  89 C  |  42 C  | 295.52 W |  89 C  |  42 C  | 302.15 W |  89 C  
2025-08-14 15:28:12|  44 C  | 284.14 W |  89 C  |  42 C  | 300.79 W |  89 C  |  41 C  | 284.92 W |  89 C  |  45 C  | 294.20 W |  89 C  |  40 C  | 271.55 W |  89 C  |  42 C  | 291.71 W |  89 C  |  43 C  | 296.22 W |  89 C  |  43 C  | 306.55 W |  89 C  
2025-08-14 15:28:15|  45 C  | 280.49 W |  89 C  |  43 C  | 302.75 W |  89 C  |  42 C  | 283.94 W |  89 C  |  45 C  | 294.88 W |  89 C  |  41 C  | 270.38 W |  89 C  |  42 C  | 292.78 W |  89 C  |  44 C  | 301.30 W |  89 C  |  43 C  | 307.62 W |  89 C  
