Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 18:11:41|  29 C  | 68.01 W |  89 C  |  27 C  | 42.88 W |  89 C  |  26 C  | 42.86 W |  89 C  |  30 C  | 42.78 W |  89 C  |  28 C  | 44.04 W |  89 C  |  28 C  | 64.06 W |  89 C  |  28 C  | 68.43 W |  89 C  |  29 C  | 45.00 W |  89 C  
2025-08-14 18:11:45|  30 C  | 66.50 W |  89 C  |  28 C  | 63.76 W |  89 C  |  27 C  | 63.55 W |  89 C  |  29 C  | 62.86 W |  89 C  |  28 C  | 64.86 W |  89 C  |  28 C  | 63.06 W |  89 C  |  28 C  | 66.14 W |  89 C  |  28 C  | 65.62 W |  89 C  
2025-08-14 18:11:51|  29 C  | 45.02 W |  89 C  |  27 C  | 62.79 W |  89 C  |  27 C  | 63.16 W |  89 C  |  30 C  | 42.68 W |  89 C  |  28 C  | 44.13 W |  89 C  |  28 C  | 43.03 W |  89 C  |  28 C  | 45.30 W |  89 C  |  29 C  | 64.24 W |  89 C  
2025-08-14 18:11:57|  29 C  | 66.82 W |  89 C  |  27 C  | 42.78 W |  89 C  |  26 C  | 42.95 W |  89 C  |  30 C  | 42.87 W |  89 C  |  28 C  | 44.23 W |  89 C  |  28 C  | 65.05 W |  89 C  |  28 C  | 65.14 W |  89 C  |  29 C  | 64.92 W |  89 C  
2025-08-14 18:12:02|  29 C  | 66.13 W |  89 C  |  27 C  | 42.87 W |  89 C  |  27 C  | 66.21 W |  89 C  |  29 C  | 42.76 W |  89 C  |  28 C  | 44.01 W |  89 C  |  28 C  | 64.42 W |  89 C  |  28 C  | 65.42 W |  89 C  |  34 C  | 262.06 W |  89 C  
2025-08-14 18:12:04|  32 C  | 350.81 W |  89 C  |  28 C  | 65.17 W |  89 C  |  27 C  | 65.50 W |  89 C  |  30 C  | 63.15 W |  89 C  |  28 C  | 63.47 W |  89 C  |  33 C  | 302.09 W |  89 C  |  29 C  | 65.43 W |  89 C  |  38 C  | 301.29 W |  89 C  
2025-08-14 18:12:07|  38 C  | 302.52 W |  89 C  |  33 C  | 302.45 W |  89 C  |  34 C  | 300.95 W |  89 C  |  30 C  | 62.50 W |  89 C  |  28 C  | 63.88 W |  89 C  |  36 C  | 303.81 W |  89 C  |  37 C  | 309.22 W |  89 C  |  39 C  | 316.89 W |  89 C  
2025-08-14 18:12:10|  39 C  | 295.10 W |  89 C  |  36 C  | 286.12 W |  89 C  |  37 C  | 300.84 W |  89 C  |  38 C  | 297.69 W |  89 C  |  35 C  | 301.51 W |  89 C  |  38 C  | 301.77 W |  89 C  |  39 C  | 299.62 W |  89 C  |  40 C  | 296.08 W |  89 C  
2025-08-14 18:12:12|  41 C  | 289.22 W |  89 C  |  38 C  | 310.73 W |  89 C  |  38 C  | 304.24 W |  89 C  |  40 C  | 305.42 W |  89 C  |  36 C  | 298.77 W |  89 C  |  39 C  | 317.28 W |  89 C  |  40 C  | 307.45 W |  89 C  |  41 C  | 289.93 W |  89 C  
2025-08-14 18:12:14|  42 C  | 308.26 W |  89 C  |  39 C  | 305.26 W |  89 C  |  39 C  | 279.35 W |  89 C  |  42 C  | 291.23 W |  89 C  |  38 C  | 287.73 W |  89 C  |  40 C  | 300.70 W |  89 C  |  41 C  | 290.50 W |  89 C  |  42 C  | 297.66 W |  89 C  
2025-08-14 18:12:17|  43 C  | 299.20 W |  89 C  |  40 C  | 311.11 W |  89 C  |  40 C  | 303.09 W |  89 C  |  42 C  | 313.45 W |  89 C  |  38 C  | 313.73 W |  89 C  |  41 C  | 293.77 W |  89 C  |  42 C  | 308.33 W |  89 C  |  43 C  | 308.58 W |  89 C  
2025-08-14 18:12:19|  43 C  | 291.18 W |  89 C  |  41 C  | 317.27 W |  89 C  |  41 C  | 301.44 W |  89 C  |  43 C  | 292.04 W |  89 C  |  40 C  | 292.83 W |  89 C  |  41 C  | 312.70 W |  89 C  |  42 C  | 299.02 W |  89 C  |  43 C  | 302.03 W |  89 C  
2025-08-14 18:12:21|  44 C  | 314.01 W |  89 C  |  42 C  | 280.86 W |  89 C  |  41 C  | 299.61 W |  89 C  |  44 C  | 310.62 W |  89 C  |  40 C  | 303.47 W |  89 C  |  42 C  | 294.25 W |  89 C  |  43 C  | 296.19 W |  89 C  |  44 C  | 303.91 W |  89 C  
2025-08-14 18:12:24|  45 C  | 308.65 W |  89 C  |  42 C  | 289.45 W |  89 C  |  42 C  | 289.42 W |  89 C  |  45 C  | 308.36 W |  89 C  |  41 C  | 309.33 W |  89 C  |  43 C  | 311.15 W |  89 C  |  44 C  | 302.64 W |  89 C  |  44 C  | 301.15 W |  89 C  
2025-08-14 18:12:26|  45 C  | 284.25 W |  89 C  |  43 C  | 305.09 W |  89 C  |  43 C  | 291.44 W |  89 C  |  45 C  | 296.23 W |  89 C  |  42 C  | 311.11 W |  89 C  |  43 C  | 286.12 W |  89 C  |  44 C  | 313.70 W |  89 C  |  45 C  | 292.95 W |  89 C  
2025-08-14 18:12:29|  46 C  | 307.50 W |  89 C  |  44 C  | 293.55 W |  89 C  |  43 C  | 287.35 W |  89 C  |  46 C  | 291.15 W |  89 C  |  43 C  | 311.86 W |  89 C  |  44 C  | 292.21 W |  89 C  |  45 C  | 307.64 W |  89 C  |  45 C  | 307.82 W |  89 C  
2025-08-14 18:12:31|  46 C  | 307.40 W |  89 C  |  44 C  | 287.00 W |  89 C  |  44 C  | 297.33 W |  89 C  |  47 C  | 295.85 W |  89 C  |  43 C  | 307.58 W |  89 C  |  45 C  | 302.63 W |  89 C  |  45 C  | 308.22 W |  89 C  |  46 C  | 276.62 W |  89 C  
2025-08-14 18:12:33|  47 C  | 298.93 W |  89 C  |  45 C  | 304.78 W |  89 C  |  44 C  | 291.95 W |  89 C  |  47 C  | 297.70 W |  89 C  |  44 C  | 313.24 W |  89 C  |  45 C  | 291.21 W |  89 C  |  46 C  | 289.72 W |  89 C  |  46 C  | 299.90 W |  89 C  
2025-08-14 18:12:36|  47 C  | 280.79 W |  89 C  |  45 C  | 306.92 W |  89 C  |  45 C  | 275.50 W |  89 C  |  48 C  | 301.80 W |  89 C  |  44 C  | 304.94 W |  89 C  |  45 C  | 294.03 W |  89 C  |  46 C  | 310.38 W |  89 C  |  46 C  | 302.73 W |  89 C  
2025-08-14 18:12:38|  48 C  | 305.52 W |  89 C  |  45 C  | 296.27 W |  89 C  |  45 C  | 301.43 W |  89 C  |  48 C  | 286.65 W |  89 C  |  44 C  | 301.62 W |  89 C  |  46 C  | 299.32 W |  89 C  |  47 C  | 303.06 W |  89 C  |  47 C  | 304.58 W |  89 C  
2025-08-14 18:12:40|  48 C  | 312.64 W |  89 C  |  46 C  | 283.65 W |  89 C  |  45 C  | 309.80 W |  89 C  |  48 C  | 295.16 W |  89 C  |  45 C  | 306.32 W |  89 C  |  46 C  | 288.07 W |  89 C  |  47 C  | 296.67 W |  89 C  |  47 C  | 296.96 W |  89 C  
2025-08-14 18:12:43|  48 C  | 305.07 W |  89 C  |  46 C  | 277.13 W |  89 C  |  46 C  | 298.80 W |  89 C  |  49 C  | 285.77 W |  89 C  |  45 C  | 297.90 W |  89 C  |  46 C  | 292.76 W |  89 C  |  47 C  | 289.32 W |  89 C  |  47 C  | 297.74 W |  89 C  
2025-08-14 18:12:45|  49 C  | 283.28 W |  89 C  |  46 C  | 305.85 W |  89 C  |  46 C  | 288.33 W |  89 C  |  49 C  | 284.41 W |  89 C  |  46 C  | 301.33 W |  89 C  |  47 C  | 313.39 W |  89 C  |  47 C  | 297.27 W |  89 C  |  48 C  | 288.67 W |  89 C  
2025-08-14 18:12:48|  49 C  | 295.68 W |  89 C  |  47 C  | 309.37 W |  89 C  |  46 C  | 287.34 W |  89 C  |  49 C  | 306.81 W |  89 C  |  46 C  | 289.13 W |  89 C  |  47 C  | 295.63 W |  89 C  |  48 C  | 305.85 W |  89 C  |  48 C  | 298.72 W |  89 C  
2025-08-14 18:12:50|  49 C  | 284.54 W |  89 C  |  47 C  | 294.34 W |  89 C  |  47 C  | 308.55 W |  89 C  |  49 C  | 299.65 W |  89 C  |  46 C  | 291.34 W |  89 C  |  47 C  | 293.56 W |  89 C  |  48 C  | 290.68 W |  89 C  |  48 C  | 313.45 W |  89 C  
2025-08-14 18:12:52|  50 C  | 278.17 W |  89 C  |  47 C  | 312.59 W |  89 C  |  47 C  | 297.92 W |  89 C  |  50 C  | 285.98 W |  89 C  |  47 C  | 303.57 W |  89 C  |  47 C  | 309.36 W |  89 C  |  48 C  | 296.48 W |  89 C  |  48 C  | 303.89 W |  89 C  
2025-08-14 18:12:55|  50 C  | 293.74 W |  89 C  |  47 C  | 296.79 W |  89 C  |  47 C  | 307.78 W |  89 C  |  50 C  | 290.79 W |  89 C  |  47 C  | 310.89 W |  89 C  |  48 C  | 296.74 W |  89 C  |  49 C  | 293.64 W |  89 C  |  48 C  | 302.82 W |  89 C  
2025-08-14 18:12:57|  50 C  | 289.85 W |  89 C  |  48 C  | 300.09 W |  89 C  |  47 C  | 292.25 W |  89 C  |  51 C  | 312.95 W |  89 C  |  47 C  | 318.02 W |  89 C  |  48 C  | 306.96 W |  89 C  |  49 C  | 301.68 W |  89 C  |  48 C  | 304.29 W |  89 C  
2025-08-14 18:12:59|  50 C  | 312.36 W |  89 C  |  48 C  | 309.83 W |  89 C  |  48 C  | 297.54 W |  89 C  |  51 C  | 296.73 W |  89 C  |  47 C  | 295.28 W |  89 C  |  48 C  | 319.33 W |  89 C  |  49 C  | 290.91 W |  89 C  |  49 C  | 307.59 W |  89 C  
2025-08-14 18:13:02|  50 C  | 309.63 W |  89 C  |  48 C  | 297.26 W |  89 C  |  48 C  | 302.98 W |  89 C  |  51 C  | 298.08 W |  89 C  |  47 C  | 281.65 W |  89 C  |  48 C  | 284.68 W |  89 C  |  49 C  | 299.81 W |  89 C  |  49 C  | 310.34 W |  89 C  
2025-08-14 18:13:04|  50 C  | 298.72 W |  89 C  |  48 C  | 297.45 W |  89 C  |  48 C  | 308.26 W |  89 C  |  51 C  | 304.44 W |  89 C  |  48 C  | 299.65 W |  89 C  |  49 C  | 293.85 W |  89 C  |  49 C  | 296.19 W |  89 C  |  49 C  | 309.36 W |  89 C  
2025-08-14 18:13:07|  51 C  | 304.27 W |  89 C  |  48 C  | 301.06 W |  89 C  |  48 C  | 303.19 W |  89 C  |  51 C  | 296.24 W |  89 C  |  48 C  | 287.35 W |  89 C  |  49 C  | 287.88 W |  89 C  |  49 C  | 289.04 W |  89 C  |  49 C  | 301.45 W |  89 C  
2025-08-14 18:13:09|  51 C  | 301.55 W |  89 C  |  48 C  | 295.28 W |  89 C  |  48 C  | 286.47 W |  89 C  |  51 C  | 302.20 W |  89 C  |  48 C  | 307.29 W |  89 C  |  49 C  | 295.49 W |  89 C  |  50 C  | 297.86 W |  89 C  |  49 C  | 295.39 W |  89 C  
