Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 16:46:07|  28 C  | 44.41 W |  89 C  |  26 C  | 42.44 W |  89 C  |  25 C  | 42.92 W |  89 C  |  28 C  | 41.94 W |  89 C  |  27 C  | 44.00 W |  89 C  |  27 C  | 43.00 W |  89 C  |  27 C  | 44.67 W |  89 C  |  27 C  | 43.08 W |  89 C  
2025-08-14 16:46:09|  28 C  | 44.41 W |  89 C  |  26 C  | 42.45 W |  89 C  |  25 C  | 42.93 W |  89 C  |  28 C  | 42.05 W |  89 C  |  27 C  | 44.11 W |  89 C  |  27 C  | 43.00 W |  89 C  |  27 C  | 44.46 W |  89 C  |  27 C  | 43.19 W |  89 C  
2025-08-14 16:46:12|  28 C  | 44.31 W |  89 C  |  26 C  | 42.55 W |  89 C  |  25 C  | 42.93 W |  89 C  |  28 C  | 41.95 W |  89 C  |  27 C  | 44.10 W |  89 C  |  27 C  | 43.00 W |  89 C  |  27 C  | 44.56 W |  89 C  |  27 C  | 43.19 W |  89 C  
2025-08-14 16:46:14|  28 C  | 44.41 W |  89 C  |  26 C  | 42.55 W |  89 C  |  25 C  | 42.83 W |  89 C  |  28 C  | 41.94 W |  89 C  |  27 C  | 44.10 W |  89 C  |  27 C  | 43.00 W |  89 C  |  27 C  | 44.26 W |  89 C  |  27 C  | 43.18 W |  89 C  
2025-08-14 16:46:16|  28 C  | 44.41 W |  89 C  |  26 C  | 42.55 W |  89 C  |  25 C  | 42.92 W |  89 C  |  28 C  | 42.05 W |  89 C  |  27 C  | 44.11 W |  89 C  |  27 C  | 43.00 W |  89 C  |  27 C  | 44.46 W |  89 C  |  27 C  | 43.18 W |  89 C  
2025-08-14 16:46:19|  28 C  | 44.41 W |  89 C  |  26 C  | 42.45 W |  89 C  |  25 C  | 42.92 W |  89 C  |  28 C  | 42.05 W |  89 C  |  27 C  | 44.10 W |  89 C  |  27 C  | 43.00 W |  89 C  |  27 C  | 44.17 W |  89 C  |  27 C  | 43.18 W |  89 C  
2025-08-14 16:46:21|  28 C  | 44.51 W |  89 C  |  26 C  | 42.46 W |  89 C  |  25 C  | 42.83 W |  89 C  |  28 C  | 42.05 W |  89 C  |  27 C  | 44.01 W |  89 C  |  27 C  | 43.00 W |  89 C  |  27 C  | 44.26 W |  89 C  |  27 C  | 43.19 W |  89 C  
2025-08-14 16:46:23|  28 C  | 44.51 W |  89 C  |  26 C  | 42.45 W |  89 C  |  25 C  | 42.83 W |  89 C  |  28 C  | 42.05 W |  89 C  |  27 C  | 44.01 W |  89 C  |  27 C  | 43.00 W |  89 C  |  27 C  | 44.26 W |  89 C  |  27 C  | 43.08 W |  89 C  
2025-08-14 16:46:26|  28 C  | 304.41 W |  89 C  |  26 C  | 64.11 W |  89 C  |  25 C  | 64.16 W |  89 C  |  28 C  | 63.31 W |  89 C  |  27 C  | 64.52 W |  89 C  |  27 C  | 65.09 W |  89 C  |  27 C  | 65.79 W |  89 C  |  27 C  | 66.46 W |  89 C  
2025-08-14 16:46:29|  37 C  | 304.86 W |  89 C  |  35 C  | 301.56 W |  89 C  |  35 C  | 300.18 W |  89 C  |  38 C  | 290.27 W |  89 C  |  34 C  | 299.01 W |  89 C  |  35 C  | 296.02 W |  89 C  |  37 C  | 289.81 W |  89 C  |  36 C  | 306.36 W |  89 C  
2025-08-14 16:46:31|  39 C  | 301.74 W |  89 C  |  37 C  | 294.91 W |  89 C  |  37 C  | 302.81 W |  89 C  |  39 C  | 299.78 W |  89 C  |  36 C  | 300.29 W |  89 C  |  37 C  | 293.27 W |  89 C  |  38 C  | 294.21 W |  89 C  |  38 C  | 295.39 W |  89 C  
2025-08-14 16:46:34|  40 C  | 297.45 W |  89 C  |  38 C  | 294.03 W |  89 C  |  38 C  | 290.30 W |  89 C  |  40 C  | 291.24 W |  89 C  |  37 C  | 300.54 W |  89 C  |  38 C  | 294.36 W |  89 C  |  39 C  | 303.24 W |  89 C  |  39 C  | 299.22 W |  89 C  
2025-08-14 16:46:36|  41 C  | 296.95 W |  89 C  |  39 C  | 301.46 W |  89 C  |  39 C  | 286.27 W |  89 C  |  42 C  | 294.78 W |  89 C  |  39 C  | 303.68 W |  89 C  |  39 C  | 300.81 W |  89 C  |  40 C  | 300.19 W |  89 C  |  40 C  | 300.21 W |  89 C  
2025-08-14 16:46:38|  42 C  | 296.57 W |  89 C  |  40 C  | 302.27 W |  89 C  |  40 C  | 297.83 W |  89 C  |  43 C  | 297.61 W |  89 C  |  40 C  | 304.88 W |  89 C  |  40 C  | 294.05 W |  89 C  |  41 C  | 296.49 W |  89 C  |  41 C  | 300.40 W |  89 C  
2025-08-14 16:46:41|  43 C  | 304.60 W |  89 C  |  41 C  | 298.23 W |  89 C  |  41 C  | 298.62 W |  89 C  |  44 C  | 294.00 W |  89 C  |  41 C  | 356.05 W |  89 C  |  41 C  | 295.71 W |  89 C  |  42 C  | 300.50 W |  89 C  |  42 C  | 301.96 W |  89 C  
2025-08-14 16:46:43|  44 C  | 297.15 W |  89 C  |  42 C  | 294.91 W |  89 C  |  42 C  | 298.61 W |  89 C  |  44 C  | 294.40 W |  89 C  |  41 C  | 295.17 W |  89 C  |  42 C  | 302.89 W |  89 C  |  43 C  | 299.72 W |  89 C  |  43 C  | 294.13 W |  89 C  
2025-08-14 16:46:46|  45 C  | 299.40 W |  89 C  |  43 C  | 294.90 W |  89 C  |  43 C  | 300.77 W |  89 C  |  45 C  | 287.92 W |  89 C  |  42 C  | 306.72 W |  89 C  |  43 C  | 297.67 W |  89 C  |  44 C  | 300.99 W |  89 C  |  44 C  | 289.04 W |  89 C  
2025-08-14 16:46:48|  46 C  | 300.67 W |  89 C  |  44 C  | 294.34 W |  89 C  |  44 C  | 290.70 W |  89 C  |  46 C  | 295.47 W |  89 C  |  43 C  | 308.58 W |  89 C  |  44 C  | 299.06 W |  89 C  |  45 C  | 302.45 W |  89 C  |  44 C  | 303.15 W |  89 C  
2025-08-14 16:46:50|  47 C  | 308.61 W |  89 C  |  45 C  | 302.36 W |  89 C  |  45 C  | 298.80 W |  89 C  |  47 C  | 295.86 W |  89 C  |  44 C  | 305.36 W |  89 C  |  45 C  | 303.74 W |  89 C  |  46 C  | 294.02 W |  89 C  |  45 C  | 304.01 W |  89 C  
2025-08-14 16:46:53|  47 C  | 300.20 W |  89 C  |  46 C  | 305.39 W |  89 C  |  45 C  | 284.02 W |  89 C  |  48 C  | 296.64 W |  89 C  |  45 C  | 301.63 W |  89 C  |  45 C  | 298.28 W |  89 C  |  46 C  | 293.76 W |  89 C  |  46 C  | 303.34 W |  89 C  
2025-08-14 16:46:55|  48 C  | 301.16 W |  89 C  |  46 C  | 298.93 W |  89 C  |  46 C  | 300.18 W |  89 C  |  48 C  | 304.28 W |  89 C  |  46 C  | 302.99 W |  89 C  |  46 C  | 299.14 W |  89 C  |  47 C  | 293.54 W |  89 C  |  46 C  | 303.54 W |  89 C  
2025-08-14 16:46:57|  49 C  | 301.85 W |  89 C  |  47 C  | 303.14 W |  89 C  |  47 C  | 300.08 W |  89 C  |  49 C  | 303.41 W |  89 C  |  46 C  | 287.34 W |  89 C  |  47 C  | 292.10 W |  89 C  |  48 C  | 296.20 W |  89 C  |  47 C  | 297.65 W |  89 C  
2025-08-14 16:47:00|  49 C  | 311.03 W |  89 C  |  47 C  | 298.62 W |  89 C  |  47 C  | 303.10 W |  89 C  |  50 C  | 297.82 W |  89 C  |  47 C  | 295.77 W |  89 C  |  47 C  | 296.98 W |  89 C  |  48 C  | 305.02 W |  89 C  |  48 C  | 300.00 W |  89 C  
2025-08-14 16:47:02|  50 C  | 304.29 W |  89 C  |  48 C  | 297.87 W |  89 C  |  48 C  | 287.94 W |  89 C  |  50 C  | 304.86 W |  89 C  |  48 C  | 296.26 W |  89 C  |  48 C  | 300.92 W |  89 C  |  49 C  | 304.72 W |  89 C  |  48 C  | 296.29 W |  89 C  
2025-08-14 16:47:05|  51 C  | 304.96 W |  89 C  |  48 C  | 298.56 W |  89 C  |  48 C  | 303.10 W |  89 C  |  51 C  | 299.58 W |  89 C  |  48 C  | 296.34 W |  89 C  |  48 C  | 304.02 W |  89 C  |  50 C  | 297.07 W |  89 C  |  49 C  | 295.41 W |  89 C  
2025-08-14 16:47:07|  51 C  | 297.17 W |  89 C  |  49 C  | 298.63 W |  89 C  |  49 C  | 286.28 W |  89 C  |  52 C  | 298.89 W |  89 C  |  49 C  | 298.11 W |  89 C  |  49 C  | 299.84 W |  89 C  |  50 C  | 297.86 W |  89 C  |  49 C  | 306.46 W |  89 C  
2025-08-14 16:47:09|  52 C  | 299.11 W |  89 C  |  49 C  | 299.90 W |  89 C  |  49 C  | 304.67 W |  89 C  |  52 C  | 300.47 W |  89 C  |  49 C  | 297.81 W |  89 C  |  50 C  | 298.55 W |  89 C  |  50 C  | 303.84 W |  89 C  |  50 C  | 291.58 W |  89 C  
2025-08-14 16:47:12|  52 C  | 299.49 W |  89 C  |  50 C  | 299.42 W |  89 C  |  50 C  | 290.39 W |  89 C  |  52 C  | 300.08 W |  89 C  |  50 C  | 298.88 W |  89 C  |  50 C  | 301.89 W |  89 C  |  51 C  | 304.05 W |  89 C  |  50 C  | 298.14 W |  89 C  
2025-08-14 16:47:14|  53 C  | 297.73 W |  89 C  |  50 C  | 306.16 W |  89 C  |  50 C  | 295.97 W |  89 C  |  53 C  | 299.10 W |  89 C  |  50 C  | 299.78 W |  89 C  |  50 C  | 303.45 W |  89 C  |  51 C  | 297.86 W |  89 C  |  51 C  | 297.75 W |  89 C  
2025-08-14 16:47:16|  53 C  | 298.92 W |  89 C  |  51 C  | 299.33 W |  89 C  |  51 C  | 297.04 W |  89 C  |  53 C  | 299.98 W |  89 C  |  51 C  | 308.97 W |  89 C  |  51 C  | 294.45 W |  89 C  |  52 C  | 298.85 W |  89 C  |  51 C  | 298.72 W |  89 C  
2025-08-14 16:47:19|  54 C  | 299.89 W |  89 C  |  51 C  | 305.00 W |  89 C  |  51 C  | 296.45 W |  89 C  |  54 C  | 300.07 W |  89 C  |  51 C  | 291.17 W |  89 C  |  51 C  | 305.40 W |  89 C  |  52 C  | 298.45 W |  89 C  |  52 C  | 299.12 W |  89 C  
2025-08-14 16:47:21|  54 C  | 297.05 W |  89 C  |  52 C  | 300.49 W |  89 C  |  51 C  | 300.77 W |  89 C  |  54 C  | 293.90 W |  89 C  |  52 C  | 296.45 W |  89 C  |  52 C  | 296.90 W |  89 C  |  52 C  | 306.88 W |  89 C  |  52 C  | 294.02 W |  89 C  
2025-08-14 16:47:24|  54 C  | 293.62 W |  89 C  |  52 C  | 293.35 W |  89 C  |  52 C  | 301.33 W |  89 C  |  55 C  | 301.35 W |  89 C  |  52 C  | 278.80 W |  89 C  |  52 C  | 300.90 W |  89 C  |  53 C  | 306.30 W |  89 C  |  52 C  | 300.10 W |  89 C  
2025-08-14 16:47:26|  55 C  | 295.67 W |  89 C  |  52 C  | 304.69 W |  89 C  |  52 C  | 302.11 W |  89 C  |  55 C  | 297.32 W |  89 C  |  52 C  | 303.39 W |  89 C  |  53 C  | 295.83 W |  89 C  |  53 C  | 306.99 W |  89 C  |  53 C  | 299.03 W |  89 C  
2025-08-14 16:47:28|  55 C  | 304.20 W |  89 C  |  53 C  | 306.46 W |  89 C  |  53 C  | 302.82 W |  89 C  |  55 C  | 293.71 W |  89 C  |  53 C  | 300.35 W |  89 C  |  53 C  | 290.72 W |  89 C  |  54 C  | 300.52 W |  89 C  |  52 C  | 306.75 W |  89 C  
2025-08-14 16:47:31|  55 C  | 295.00 W |  89 C  |  53 C  | 295.11 W |  89 C  |  53 C  | 302.72 W |  89 C  |  56 C  | 299.38 W |  89 C  |  53 C  | 302.81 W |  89 C  |  53 C  | 297.88 W |  89 C  |  54 C  | 292.19 W |  89 C  |  53 C  | 216.23 W |  89 C  
2025-08-14 16:47:33|  56 C  | 295.88 W |  89 C  |  53 C  | 309.00 W |  89 C  |  53 C  | 292.63 W |  89 C  |  56 C  | 286.15 W |  89 C  |  53 C  | 302.41 W |  89 C  |  53 C  | 293.95 W |  89 C  |  54 C  | 293.95 W |  89 C  |  54 C  | 299.40 W |  89 C  
2025-08-14 16:47:35|  56 C  | 297.35 W |  89 C  |  54 C  | 294.32 W |  89 C  |  54 C  | 301.43 W |  89 C  |  56 C  | 301.93 W |  89 C  |  54 C  | 302.70 W |  89 C  |  54 C  | 301.70 W |  89 C  |  55 C  | 302.07 W |  89 C  |  54 C  | 301.86 W |  89 C  
2025-08-14 16:47:38|  56 C  | 295.48 W |  89 C  |  54 C  | 293.92 W |  89 C  |  54 C  | 301.26 W |  89 C  |  57 C  | 303.88 W |  89 C  |  54 C  | 303.89 W |  89 C  |  54 C  | 300.99 W |  89 C  |  55 C  | 294.24 W |  89 C  |  54 C  | 302.04 W |  89 C  
2025-08-14 16:47:40|  57 C  | 296.27 W |  89 C  |  54 C  | 236.85 W |  89 C  |  54 C  | 302.90 W |  89 C  |  57 C  | 302.72 W |  89 C  |  54 C  | 287.62 W |  89 C  |  54 C  | 301.79 W |  89 C  |  55 C  | 286.19 W |  89 C  |  55 C  | 301.28 W |  89 C  
2025-08-14 16:47:43|  57 C  | 298.13 W |  89 C  |  55 C  | 286.70 W |  89 C  |  54 C  | 310.84 W |  89 C  |  57 C  | 294.28 W |  89 C  |  55 C  | 302.89 W |  89 C  |  55 C  | 308.52 W |  89 C  |  55 C  | 308.34 W |  89 C  |  55 C  | 301.37 W |  89 C  
2025-08-14 16:47:45|  57 C  | 297.94 W |  89 C  |  55 C  | 299.44 W |  89 C  |  55 C  | 285.49 W |  89 C  |  57 C  | 302.62 W |  89 C  |  55 C  | 302.03 W |  89 C  |  55 C  | 301.09 W |  89 C  |  56 C  | 293.35 W |  89 C  |  55 C  | 298.82 W |  89 C  
2025-08-14 16:47:47|  57 C  | 297.75 W |  89 C  |  55 C  | 308.40 W |  89 C  |  55 C  | 304.08 W |  89 C  |  58 C  | 299.48 W |  89 C  |  55 C  | 297.43 W |  89 C  |  55 C  | 294.55 W |  89 C  |  56 C  | 301.02 W |  89 C  |  55 C  | 293.44 W |  89 C  
2025-08-14 16:47:50|  58 C  | 296.86 W |  89 C  |  55 C  | 297.65 W |  89 C  |  55 C  | 304.29 W |  89 C  |  58 C  | 296.74 W |  89 C  |  55 C  | 304.57 W |  89 C  |  55 C  | 293.66 W |  89 C  |  56 C  | 301.00 W |  89 C  |  56 C  | 302.06 W |  89 C  
2025-08-14 16:47:52|  58 C  | 299.20 W |  89 C  |  55 C  | 295.49 W |  89 C  |  55 C  | 294.10 W |  89 C  |  58 C  | 296.14 W |  89 C  |  56 C  | 304.17 W |  89 C  |  55 C  | 303.05 W |  89 C  |  56 C  | 302.96 W |  89 C  |  56 C  | 302.73 W |  89 C  
2025-08-14 16:47:54|  58 C  | 298.52 W |  89 C  |  56 C  | 295.50 W |  89 C  |  55 C  | 286.08 W |  89 C  |  59 C  | 296.84 W |  89 C  |  56 C  | 297.02 W |  89 C  |  56 C  | 293.96 W |  89 C  |  57 C  | 303.46 W |  89 C  |  56 C  | 297.64 W |  89 C  
2025-08-14 16:47:57|  58 C  | 298.92 W |  89 C  |  56 C  | 288.65 W |  89 C  |  56 C  | 292.54 W |  89 C  |  59 C  | 297.12 W |  89 C  |  56 C  | 305.15 W |  89 C  |  56 C  | 309.14 W |  89 C  |  57 C  | 301.01 W |  89 C  |  56 C  | 302.45 W |  89 C  
